tank,diet,latitude,longitude,start_density,start_biomass,start_count,start_ABW,start_ABL,mortality_p,length_mm,width_mm,area_mm2,weight_g,condition
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,60.14,52.43,248.21,27.75,0.74
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,75.05,56.15,341.87,54.57,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,72.63,56.64,323.71,49.37,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.05,55.65,299.45,40.45,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.01,58.20,317.23,42.23,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,80.56,69.13,431.93,67.73,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.19,54.13,284.49,37.18,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,74.81,56.62,331.07,54.03,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.87,55.68,303.52,43.86,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,75.41,63.39,389.43,55.35,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,77.77,61.73,376.46,60.82,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,66.35,61.97,325.27,37.46,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.96,55.98,356.25,63.70,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,70.88,58.55,325.41,45.83,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.75,64.20,402.75,63.18,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.58,59.90,349.67,51.35,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.16,58.08,316.70,42.50,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,76.62,56.32,337.07,58.11,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,73.23,56.46,329.14,50.63,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,88.01,52.61,371.21,88.74,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,68.44,63.25,338.51,41.18,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,78.92,60.24,374.74,63.61,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,93.13,58.45,430.11,105.45,0.76
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,79.16,60.56,377.38,64.20,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,69.92,68.66,380.72,43.96,0.75
E01,ulva,-34.63,135.93,4.01,208.78,10897,21.28,55.14,34.02,56.88,48.45,218.58,23.41,0.74
